shift_pixels_x,depth_shift_z_pixels,rmse_before_moving_prime_vs_moving,rmse_after_moving_prime_vs_moved,rmse_lung_after_moving_prime_vs_moved,ms_ssim_after_moving_prime_vs_moved,dice_after_warped_moving_mask_vs_moving_prime_mask,folding_rate_predicted_dvf,dvf_rmse_vs_known_translation_lowres,predicted_flow_x_mean_lowres,analysis_rmse_moving_prime_vs_moved,downsampled_rmse_moving_prime_vs_moved,upsampled_rmse_moving_prime_vs_moved,synthesis_component_rmse_moving_prime_vs_moved
22,0,0.19417843222618103,0.14466172456741333,nan,0.2555481791496277,nan,0.021477630361914635,12.07699966430664,1.3544551134109497,0.1443193256855011,0.14466235041618347,0.05114586278796196,0.05114046111702919
23,0,0.1975947916507721,0.14797857403755188,nan,0.2502771317958832,nan,0.021784678101539612,12.645384788513184,1.3612935543060303,0.14762209355831146,0.1479792445898056,0.05231856182217598,0.05231304094195366
24,0,0.20086559653282166,0.15220864117145538,nan,0.2432730346918106,nan,0.021868329495191574,13.211710929870605,1.3707003593444824,0.15183348953723907,0.1522095799446106,0.05381421372294426,0.05380852147936821
25,0,0.20398372411727905,0.15620839595794678,nan,0.23702919483184814,nan,0.022107472643256187,13.788385391235352,1.366234540939331,0.15581676363945007,0.15620984137058258,0.055228523910045624,0.055222563445568085
26,0,0.20696133375167847,0.15963895618915558,nan,0.2316809445619583,nan,0.02261725254356861,14.379656791687012,1.3334482908248901,0.15921106934547424,0.15964031219482422,0.05644137039780617,0.05643538758158684
27,0,0.2098011076450348,0.1627892702817917,nan,0.2268049120903015,nan,0.023070935159921646,14.945645332336426,1.3437631130218506,0.16234764456748962,0.1627907007932663,0.05755520612001419,0.05754907429218292
28,0,0.21250993013381958,0.16634982824325562,nan,0.22167055308818817,nan,0.02371160313487053,15.517913818359375,1.3438613414764404,0.16588690876960754,0.16635137796401978,0.058814097195863724,0.05880783125758171
29,0,0.2150510847568512,0.16919627785682678,nan,0.21746943891048431,nan,0.0243699848651886,16.1123046875,1.308394432067871,0.16871583461761475,0.16919803619384766,0.05982054024934769,0.059814125299453735
30,0,0.21744371950626373,0.17318174242973328,nan,0.21266545355319977,nan,0.024877795949578285,16.724693298339844,1.2412822246551514,0.1726853847503662,0.1731836497783661,0.06122966855764389,0.061223145574331284
31,0,0.21971796452999115,0.17617204785346985,nan,0.20877592265605927,nan,0.02461404912173748,17.317161560058594,1.2095541954040527,0.17565526068210602,0.17617426812648773,0.06228701025247574,0.06228030472993851
32,0,0.22188131511211395,0.18045532703399658,nan,0.20323757827281952,nan,0.024499891325831413,17.931140899658203,1.1406896114349365,0.1799173206090927,0.18045750260353088,0.0638013631105423,0.0637945681810379
33,0,0.22393925487995148,0.1842157542705536,nan,0.19839978218078613,nan,0.024937829002738,18.52361297607422,1.112246036529541,0.18366126716136932,0.18421818315982819,0.06513096392154694,0.06512401252985
34,0,0.22592143714427948,0.18721570074558258,nan,0.19435904920101166,nan,0.024968335404992104,19.116003036499023,1.0825886726379395,0.18663805723190308,0.18721823394298553,0.0661916434764862,0.06618457287549973
35,0,0.22780191898345947,0.18918204307556152,nan,0.19208954274654388,nan,0.025378717109560966,19.693294525146484,1.0808066129684448,0.18857328593730927,0.18918465077877045,0.06688687205314636,0.0668797492980957
36,0,0.22953690588474274,0.19240882992744446,nan,0.18807314336299896,nan,0.025461385026574135,20.277875900268555,1.0610177516937256,0.19178809225559235,0.19241148233413696,0.06802773475646973,0.06802047044038773
37,0,0.23117360472679138,0.1948201060295105,nan,0.1855158507823944,nan,0.025262590497732162,20.87517738342285,1.0244790315628052,0.1941937804222107,0.19482289254665375,0.06888029724359512,0.06887301057577133
38,0,0.23271846771240234,0.19691669940948486,nan,0.18320265412330627,nan,0.025332463905215263,21.48829460144043,0.9620800018310547,0.1962694525718689,0.19691985845565796,0.06962168216705322,0.06961425393819809
39,0,0.2341679483652115,0.19868996739387512,nan,0.18159928917884827,nan,0.024921098724007607,22.072240829467773,0.9475513100624084,0.19803012907505035,0.19869336485862732,0.07024870812892914,0.07024127244949341
40,0,0.23554198443889618,0.20087029039859772,nan,0.17919325828552246,nan,0.02450382709503174,22.675724029541016,0.8992243409156799,0.200203537940979,0.20087377727031708,0.07101959735155106,0.07101207971572876
